Institution Type,Institution,Campus,County,FIPS,Institution Address,Latitude,Longitude,
Community College,Roane,Not Available for Community Colleges,"Roane County, Tennessee",47145,"276 Patton Ln, Harriman, TN 37748",35.88145614,-84.62003198,
TCAT,Shelbyville,Don Sundquist Center of Advanced Technologies,"Bedford County, Tennessee",47003,,,,shut down?
TCAT,Shelbyville,Ariens Corporation,"Lincoln County, Tennessee",47103,"1810 Wilson Pkwy., Fayetteville, TN 37334",35.145537,-86.580162,
TCAT,Shelbyville,Franklin County Extension Campus,"Franklin County, Tennessee",47051,"925 Dinah Shore Blvd, Winchester, TN 37398",35.19400232,-86.10370486,
TCAT,Shelbyville,Lincoln Central Academy,"Lincoln County, Tennessee",47103,"204 Union St., Fayetteville, TN 37334",35.14476,-86.573164,
TCAT,Shelbyville,Main Campus,"Bedford County, Tennessee",47003,"1405 Madison St, Shelbyville, TN 37160",35.48565961,-86.42100498,
TCAT,Shelbyville,Middle Tennessee Education Center,"Bedford County, Tennessee",47003,"200 Dover St, Shelbyville, TN 37160",35.49268036,-86.47321268,
Community College,Southwest,Not Available for Community Colleges,"Shelby County, Tennessee",47157,"5983 Macon Cove, Memphis, TN 38134",35.16193931,-89.86638329,
Community College,Volunteer,Not Available for Community Colleges,"Wilson County, Tennessee",47189,"1480 Nashville Pike, Gallatin, TN 37066",36.36254125,-86.49726018,
Community College,Walters,Not Available for Community Colleges,"Hamblen County, Tennessee",47063,"500 S Davy Crockett Pkwy, Morristown, TN 37813",36.21375638,-83.26159325,
TCAT,Jackson,Whiteville,"Hardeman County, Tennessee",47069,"1685 US-64, Whiteville, TN 38075",35.31958927,-89.15975407,used to be TCAT Whitesville before it became a Jackson satellite
