Year,Program,Six Digit,Program Category,Four Digit,Program Family,Two Digit,Institution Type,Institution,Campus,County,FIPS,Certificate,Diploma,Total Awards
2020-21,Building Construction Technology/Technician,46.0415,"Building/Construction Finishing, Management, and Inspection",46.04,Construction Trades,46,TCAT,Nashville,TCAT - Portland Campus,"Sumner County, Tennessee",47165,0,9,9
2020-21,Machine Tool Technology/Machinist,48.0501,Precision Metal Working,48.05,Precision Production,48,TCAT,Nashville,TCAT - Portland Campus,"Sumner County, Tennessee",47165,1,13,14
2020-21,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Nashville,TCAT - Portland Campus,"Sumner County, Tennessee",47165,4,10,14
2020-21,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Nashville,TCAT - Portland Campus,"Sumner County, Tennessee",47165,1,9,10
2020-21,Executive Assistant/Executive Secretary,52.0402,Business Operations Support and Assistant Services,52.04,"Business, Management, Marketing, and Related Support Services",52,TCAT,Nashville,TCAT - Portland Campus,"Sumner County, Tennessee",47165,1,9,10
2020-21,"Cosmetology/Cosmetologist, General",12.0401,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Nashville,TTCN Extension Campus at Springfield,"Robertson County, Tennessee",47147,7,16,23
2020-21,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Newbern,Dyersburg High School,"Dyer County, Tennessee",47045,12,11,23
2020-21,Computer Support Specialist,11.1006,Computer/Information Technology Administration and Management,11.10,Computer and Information Sciences and Support Services,11,TCAT,Newbern,Main Campus,"Dyer County, Tennessee",47045,8,9,17
2020-21,"Cosmetology/Cosmetologist, General",12.0401,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Newbern,Main Campus,"Dyer County, Tennessee",47045,9,26,35
2020-21,"Drafting and Design Technology/Technician, General",15.1301,Drafting/Design Engineering Technologies/Technicians,15.13,Engineering/Engineering-Related Technologies/Technicians,15,TCAT,Newbern,Main Campus,"Dyer County, Tennessee",47045,4,6,10
2020-21,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",47.02,Mechanic and Repair Technologies/Technicians,47,TCAT,Newbern,Main Campus,"Dyer County, Tennessee",47045,2,6,8
2020-21,Industrial Mechanics and Maintenance Technology/Technician,47.0303,Heavy/Industrial Equipment Maintenance Technologies/Technicians,47.03,Mechanic and Repair Technologies/Technicians,47,TCAT,Newbern,Main Campus,"Dyer County, Tennessee",47045,12,17,29
2020-21,Automobile/Automotive Mechanics Technology/Technician,47.0604,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Newbern,Main Campus,"Dyer County, Tennessee",47045,7,10,17
2020-21,Diesel Mechanics Technology/Technician,47.0605,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Newbern,Main Campus,"Dyer County, Tennessee",47045,1,5,6
2020-21,Machine Tool Technology/Machinist,48.0501,Precision Metal Working,48.05,Precision Production,48,TCAT,Newbern,Main Campus,"Dyer County, Tennessee",47045,0,5,5
